region,date,daily_cases,daily_fatalities
England,30/01/2020,1,1
England,31/01/2020,0,0
England,01/02/2020,0,0
England,02/02/2020,1,1
England,03/02/2020,18,0
England,04/02/2020,0,0
England,05/02/2020,1,0
England,06/02/2020,0,0
England,07/02/2020,0,0
England,08/02/2020,3,0
England,09/02/2020,1,0
England,10/02/2020,1,0
England,11/02/2020,4,0
England,12/02/2020,1,0
England,13/02/2020,1,0
England,14/02/2020,0,0
England,15/02/2020,0,0
England,16/02/2020,0,0
England,17/02/2020,1,0
England,18/02/2020,0,0
England,19/02/2020,0,0
England,20/02/2020,0,0
England,21/02/2020,2,0
England,22/02/2020,0,1
England,23/02/2020,6,0
England,24/02/2020,2,0
England,25/02/2020,3,0
England,26/02/2020,1,0
England,27/02/2020,7,0
England,28/02/2020,11,0
England,29/02/2020,4,0
England,01/03/2020,18,0
England,02/03/2020,40,1
England,03/03/2020,53,0
England,04/03/2020,49,1
England,05/03/2020,46,2
England,06/03/2020,74,2
England,07/03/2020,55,0
England,08/03/2020,50,2
England,09/03/2020,127,5
England,10/03/2020,229,3
England,11/03/2020,358,7
England,12/03/2020,421,11
England,13/03/2020,401,16
England,14/03/2020,315,19
England,15/03/2020,398,28
England,16/03/2020,552,44
England,17/03/2020,683,54
England,18/03/2020,910,66
England,19/03/2020,932,71
England,20/03/2020,1096,109
England,21/03/2020,1040,126
England,22/03/2020,1212,172
England,23/03/2020,2010,188
England,24/03/2020,2041,237
England,25/03/2020,2284,299
England,26/03/2020,2633,370
England,27/03/2020,2673,416
England,28/03/2020,2379,449
England,29/03/2020,2449,531
England,30/03/2020,3514,631
England,31/03/2020,3816,741
England,01/04/2020,4150,826
England,02/04/2020,4097,892
England,03/04/2020,4102,927
England,04/04/2020,3405,1023
England,05/04/2020,3094,1063
England,06/04/2020,4407,1025
England,07/04/2020,4605,1145
England,08/04/2020,4315,1286
England,09/04/2020,4076,1177
England,10/04/2020,3590,1163
England,11/04/2020,3085,1203
England,12/04/2020,2958,1208
England,13/04/2020,3463,1076
England,14/04/2020,3568,1080
England,15/04/2020,4240,1100
England,16/04/2020,4360,1147
England,17/04/2020,4088,1107
England,18/04/2020,4142,1030
England,19/04/2020,3494,967
England,20/04/2020,3698,992
England,21/04/2020,3996,916
England,22/04/2020,4812,939
England,23/04/2020,4574,893
England,24/04/2020,4352,874
England,25/04/2020,3381,771
England,26/04/2020,3137,763
England,27/04/2020,4056,724
England,28/04/2020,4113,701
England,29/04/2020,4737,699
England,30/04/2020,4314,660
England,01/05/2020,4109,661
England,02/05/2020,2762,590
England,03/05/2020,2648,556
England,04/05/2020,2851,562
England,05/05/2020,3148,537
England,06/05/2020,3264,524
England,07/05/2020,3205,535
England,08/05/2020,2622,482
England,09/05/2020,1797,463
England,10/05/2020,2013,423
England,11/05/2020,3088,355
England,12/05/2020,2940,380
England,13/05/2020,2899,373
England,14/05/2020,2222,373
England,15/05/2020,2145,359
England,16/05/2020,1781,351
England,17/05/2020,1593,316
England,18/05/2020,2226,344
England,19/05/2020,2602,316
England,20/05/2020,2359,303
England,21/05/2020,2277,286
England,22/05/2020,1798,256
England,23/05/2020,1309,255
England,24/05/2020,1206,234
England,25/05/2020,1389,240
England,26/05/2020,1461,260
England,27/05/2020,1616,233
England,28/05/2020,1575,241
England,29/05/2020,1374,216
England,30/05/2020,1010,188
England,31/05/2020,984,175
England,01/06/2020,1319,179
England,02/06/2020,1365,204
England,03/06/2020,1251,179
England,04/06/2020,1147,163
England,05/06/2020,1020,160
England,06/06/2020,723,129
England,07/06/2020,668,137
England,08/06/2020,990,142
England,09/06/2020,1066,127
England,10/06/2020,1086,142
England,11/06/2020,915,108
England,12/06/2020,938,122
